class name,Chinese time,Au time,Class,School,Topic,Fixed class,Fixed Teacher,Fixed Studio,Teacher,Studio,Uniform,Special Class,Note,sso check,search class,澳洲反馈信息
"荣光国际RGGJ3年级9班
Grade 3 (9)",16:05-16:45,18:05-18:45,"3年级9班
Grade 3 (9)",荣光国际RGGJ,"BE3U5_Culture_02
Summer, winter, both! Pt2",,,,MARCUS,dorcas 38,Aienglish Green,,,,"荣光国际RGGJ3年级9班
Grade 3 (9)",
武进机关幼儿园WJJGYEY御城小1班YCXB,15:30-16:15,17:30-18:15,御城小1班YCXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L4（20mins+20mins）,,,,MARK,dorcas 8,Aienglish Green,,"可可班20176318			
",,武进机关幼儿园WJJGYEY御城小1班YCXB,
武进机关幼儿园WJJGYEY御城中1班YCZB,16:40-17:25,18:40-19:25,御城中1班YCZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L3（20mins+20mins）,,,,RACHEAL B,dorcas 37,Aienglish Green,,"可可班20176318			
",,武进机关幼儿园WJJGYEY御城中1班YCZB,
武进机关幼儿园WJJGYEY御城中2班YCZB,15:45-16:30,17:45-18:30,御城中2班YCZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L3（20mins+20mins）,,,,ALLEN D,dorcas 2,Aienglish Green,,"智智班20540583			
",,武进机关幼儿园WJJGYEY御城中2班YCZB,
武进机关幼儿园WJJGYEY高新小班GXXB,11:40-12:25,13:40-14:25,高新小班GXXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L4（20mins+20mins）,,,,SIENNA,dorcas 4,Aienglish Green,,"云云班20616871			
",,武进机关幼儿园WJJGYEY高新小班GXXB,
武进机关幼儿园WJJGYEY高新中1班GXZB,11:40-12:25,13:40-14:25,高新中1班GXZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,MANYA,dorcas 7,Aienglish Green,,"乐乐班20546493			
",,武进机关幼儿园WJJGYEY高新中1班GXZB,
武进机关幼儿园WJJGYEY高新中2班GXZB,15:45-16:30,17:45-18:30,高新中2班GXZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,MANYA,dorcas 7,Aienglish Green,,"云云班20616871			
",,武进机关幼儿园WJJGYEY高新中2班GXZB,
武进机关幼儿园WJJGYEY天禄小班TLXB,11:40-12:25,13:40-14:25,天禄小班TLXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L4（20mins+20mins）,,,,LEIGH-ANN,dorcas 34,Aienglish Green,,欢欢20948917,,武进机关幼儿园WJJGYEY天禄小班TLXB,
武进机关幼儿园WJJGYEY天禄中班TLZB,11:40-12:25,13:40-14:25,天禄中班TLZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,MAROUSSIA,dorcas 33,Aienglish Green,,"舒舒班20951214			
",,武进机关幼儿园WJJGYEY天禄中班TLZB,
武进机关幼儿园WJJGYEY星河南中班XHNZB,15:50-16:35,17:50-18:35,星河南中班XHNZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,CAMC,dorcas 10,Aienglish Green,,"爱爱班20512085			
",,武进机关幼儿园WJJGYEY星河南中班XHNZB,
武进机关幼儿园WJJGYEY星河北中班XHBZB,11:40-12:25,13:40-14:25,星河北中班XHBZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L3（20mins+20mins）,,,,ALLEN D,dorcas 5,Aienglish Green,,"20318437			
",,武进机关幼儿园WJJGYEY星河北中班XHBZB,
武进机关幼儿园WJJGYEY火炬小A班HJXB,11:40-12:25,13:40-14:25,火炬小A班HJXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L4（20mins+20mins）,,,,Kristina M,dorcas 9,Aienglish Green,,蜜蜜班20147343,,武进机关幼儿园WJJGYEY火炬小A班HJXB,
武进机关幼儿园WJJGYEY火炬小B班HJXB,15:30-16:15,17:30-18:15,火炬小B班HJXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L4（20mins+20mins）,,,,LEIGH-ANN,dorcas 34,Aienglish Green,,"蜜蜜班20147343			
",,武进机关幼儿园WJJGYEY火炬小B班HJXB,
武进机关幼儿园WJJGYEY火炬中A班HJZB,15:45-16:30,17:45-18:30,火炬中A班HJZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,JOSH,dorcas 16,Aienglish Green,,"可可班20536574			
",,武进机关幼儿园WJJGYEY火炬中A班HJZB,
武进机关幼儿园WJJGYEY火炬中B班HJZB,11:40-12:25,13:40-14:25,火炬中B班HJZB,武进机关幼儿园WJJGYEY,BF2_U1 My School_L4（20mins+20mins）,,,,JOSH,dorcas 16,Aienglish Green,,可可班20536574,,武进机关幼儿园WJJGYEY火炬中B班HJZB,
武进机关幼儿园WJJGYEY天禄大班TLDB,17:00-17:55,19:00-19:55,天禄大班TLDB,武进机关幼儿园WJJGYEY,BF3_U1 At School_L8_（25mins+25mins）,,,,MARCUS,dorcas 38,Aienglish Green,,"舒舒班20951214			
",,武进机关幼儿园WJJGYEY天禄大班TLDB,
武进机关幼儿园WJJGYEY御城小2班YCXB,11:30-12:15,13:30-15:15,御城小2班YCXB,武进机关幼儿园WJJGYEY,BF1_U1 My Class_L3（20mins+20mins）,,,,Gabriella S,dorcas 3,Aienglish Green,,"智智班20540583
",,武进机关幼儿园WJJGYEY御城小2班YCXB,
武进机关幼儿园WJJGYEY星河北大班XHBDB,16:00-16:55,18:00-18:55,星河北大班XHBDB,武进机关幼儿园WJJGYEY,BF3_U1 At School_L6_（25mins+25mins）,,,,SPENCER,dorcas 12,Aienglish Green,,"欢欢班20524678			
",,武进机关幼儿园WJJGYEY星河北大班XHBDB,
山东东营瑞思SDDY-RSK1005,18:15-18:45,20：15-20：45,K1005,山东东营瑞思SDDY-RS,K1_10_Feelings and Emotions,,,,ANNABEL,dorcas 11,Rise Blue,,K1001,,山东东营瑞思SDDY-RSK1005,
山东东营瑞思SDDY-RSK1001,18:15-18:45,20：15-20：45,K1001,山东东营瑞思SDDY-RS,K1_08_Weather,,,,MARK,dorcas 8,Rise Blue,,K1002,,山东东营瑞思SDDY-RSK1001,
山东东营瑞思SDDY-RSK1009,19:00-19:30,21：00-21：30,K1009,山东东营瑞思SDDY-RS,K1_10_Feelings and Emotions,,,,MARK,dorcas 8,Rise Blue,,K1001,,山东东营瑞思SDDY-RSK1009,
山东东营瑞思SDDY-RSK1002,19:00-19:30,21：00-21：30,K1002,山东东营瑞思SDDY-RS,K1_07_Seasons,,,,ANNABEL,dorcas 11,Rise Blue,,K1002,,山东东营瑞思SDDY-RSK1002,
AU001,,14:00-14:30,AU001,,ZHFLS_G2_U5_L1_sm,,,,MARK,dorcas 2,Aienglish Green,,,,AU001,
兴趣班（京岘山庄分园）JXYEY大四班,15:40-16:10,17:40-18:10,大四班,兴趣班（京岘山庄分园）JXYEY,BF3_U1 At School_L1,,,,RACHEAL B,dorcas 37,Aienglish Green,,ZJ-JHL-JXSZ,,兴趣班（京岘山庄分园）JXYEY大四班,
新城幼儿园XCYRY小班,9:30-10:00,11:30-12:00,小班,新城幼儿园XCYRY,New Yippee Green_U5_My_Toys_L1,,,,Ellie,dorcas 34,Aienglish Green,,ZJDT-001 20123101 ,,新城幼儿园XCYRY小班,
新城幼儿园XCYRY中班,10:15-10:45,12:15-12:45,中班,新城幼儿园XCYRY,New Yippee Red_U5_My_Body_L1,,,,Ellie,dorcas 34,Aienglish Green,,ZJDT-001 20123101,,新城幼儿园XCYRY中班,
,,,,,,,,,,,,,,,,
